source,exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
config-xor-bad-2-results,41,,,timeout,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,42,,,timeout,1,GRID,100,10,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,43,0.9950846531949754,0.6859639541234298,0.3157,1,GRID,100,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,44,,,timeout,1,GRID,100,2,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,45,,,timeout,1,GRID,100,10,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,46,0.9950846531949754,0.6859639541234298,0.3462,1,GRID,100,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,47,,,timeout,1,GRID,100,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,48,,,timeout,1,GRID,100,10,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,49,0.9950846531949754,0.6859639541234298,0.3826,1,GRID,100,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,50,,,timeout,1,GRID,100,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-3-missing-2-results,1,unsat,unsat,0.5146,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,2,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,3,unsat,unsat,0.2587,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,4,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,5,unsat,unsat,0.2742,1,VORONOI,82,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,6,,,timeout,1,VORONOI,82,2,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,7,unsat,unsat,0.3041,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,8,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,9,unsat,unsat,0.5831,1,VORONOI,82,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,10,,,timeout,1,VORONOI,82,2,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,11,unsat,unsat,0.4277,1,VORONOI,82,1,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,12,,,timeout,1,VORONOI,82,2,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,13,unsat,unsat,0.4026,1,VORONOI,82,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
config-xor-bad-3-missing-2-results,14,,,timeout,1,VORONOI,82,2,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}","{'limit_points': 100, 'resample': True, 'random_state': 42}"
