exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
108,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_108/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 2, 1]]}",
109,unsat,unsat,0.4508,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_109/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}",
110,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_110/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 2, 2]]}",
111,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_111/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 2, 2]]}",
112,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_112/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 2, 2]]}",
113,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_113/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 2, 2]]}",
114,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_114/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 2, 2]]}",
115,unsat,unsat,0.4582,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_115/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 3]]}",
116,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_116/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 2, 3]]}",
117,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_117/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 2, 3]]}",
118,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_118/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 2, 3]]}",
119,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_119/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 2, 3]]}",
120,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_120/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 2, 3]]}",
121,unsat,unsat,0.4476,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_121/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 4]]}",
122,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_122/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 2, 4]]}",
